source,NR,WR,SR,ER,NER,All India,date
Lignite,20,10,43,0,0,73,29-04-2021
Hydro,149,54,71,40,10,323,30-04-2021
Nuclear,21,28,59,0,0,109,30-04-2021
"Gas, Naptha & Diesel",34,67,11,0,23,134,30-04-2021
"RES (Wind, Solar, Biomass & Others)",78,96,156,5,0,335,30-04-2021
Total,869,1637,909,611,45,4071,30-04-2021
Lignite,22,10,50,0,0,82,30-04-2021
Coal,565,1382,563,566,12,3089,30-04-2021
"Gas, Naptha & Diesel",34,52,11,0,22,118,01-05-2021
Nuclear,25,28,59,0,0,112,01-05-2021
Hydro,159,41,59,40,10,308,01-05-2021
"RES (Wind, Solar, Biomass & Others)",87,82,156,5,0,330,01-05-2021
Lignite,22,10,48,0,0,80,01-05-2021
Coal,541,1336,515,548,12,2951,01-05-2021
Total,868,1547,848,592,44,3899,01-05-2021
"Gas, Naptha & Diesel",34,46,11,0,23,113,02-05-2021
"RES (Wind, Solar, Biomass & Others)",81,78,150,5,0,314,02-05-2021
Coal,521,1292,511,539,11,2874,02-05-2021
Lignite,19,8,48,0,0,75,02-05-2021
Nuclear,26,28,59,0,0,113,02-05-2021
Total,839,1489,838,579,43,3788,02-05-2021
Hydro,158,37,59,36,10,299,02-05-2021
Total,865,1516,867,572,41,3861,03-05-2021
"RES (Wind, Solar, Biomass & Others)",95,100,153,5,0,353,03-05-2021
"Gas, Naptha & Diesel",28,46,11,0,23,108,03-05-2021
Hydro,171,41,64,37,9,322,03-05-2021
Nuclear,26,28,59,0,0,113,03-05-2021
Coal,524,1292,529,530,10,2885,03-05-2021
Lignite,21,8,50,0,0,80,03-05-2021
"Gas, Naptha & Diesel",28,49,12,0,21,111,04-05-2021
Nuclear,30,28,59,0,0,117,04-05-2021
Hydro,182,48,67,40,10,348,04-05-2021
Coal,525,1325,528,512,10,2900,04-05-2021
Total,885,1556,857,558,41,3897,04-05-2021
"RES (Wind, Solar, Biomass & Others)",98,98,142,5,0,343,04-05-2021
Lignite,22,8,48,0,0,78,04-05-2021
"RES (Wind, Solar, Biomass & Others)",88,122,149,5,0,364,05-05-2021
Total,874,1581,851,555,45,3907,05-05-2021
Coal,501,1317,520,503,10,2851,05-05-2021
"Gas, Naptha & Diesel",29,51,12,0,24,116,05-05-2021
Nuclear,31,28,59,0,0,118,05-05-2021
Hydro,203,55,62,48,12,380,05-05-2021
Lignite,22,8,47,0,0,77,05-05-2021
"Gas, Naptha & Diesel",28,52,13,0,24,116,06-05-2021
Nuclear,31,28,59,0,0,118,06-05-2021
Hydro,196,62,76,66,16,414,06-05-2021
Lignite,19,8,49,0,0,76,06-05-2021
Total,880,1529,852,572,50,3883,06-05-2021
Coal,518,1267,507,501,10,2803,06-05-2021
"RES (Wind, Solar, Biomass & Others)",88,113,148,5,0,355,06-05-2021
Lignite,19,10,50,0,0,79,07-05-2021
Hydro,189,61,71,58,13,391,07-05-2021
Nuclear,31,28,59,0,0,118,07-05-2021
"Gas, Naptha & Diesel",28,52,13,0,23,117,07-05-2021
"RES (Wind, Solar, Biomass & Others)",79,97,147,5,0,328,07-05-2021
Total,842,1483,858,583,47,3814,07-05-2021
Coal,497,1236,518,519,11,2781,07-05-2021
Nuclear,31,26,59,0,0,116,08-05-2021
"Gas, Naptha & Diesel",28,56,13,0,23,122,08-05-2021
Hydro,189,61,72,51,16,389,08-05-2021
"RES (Wind, Solar, Biomass & Others)",66,88,153,5,0,312,08-05-2021
Coal,539,1248,519,544,13,2863,08-05-2021
Lignite,22,12,49,0,0,83,08-05-2021
Total,874,1492,866,601,52,3884,08-05-2021
"RES (Wind, Solar, Biomass & Others)",84,103,144,5,0,336,09-05-2021
Nuclear,31,18,60,0,0,109,09-05-2021
Hydro,174,59,69,53,15,369,09-05-2021
"Gas, Naptha & Diesel",27,52,14,0,23,116,09-05-2021
Lignite,20,12,48,0,0,80,09-05-2021
Coal,503,1196,497,531,11,2738,09-05-2021
Total,839,1440,831,588,49,3748,09-05-2021
Nuclear,31,16,63,0,0,110,10-05-2021
Hydro,184,44,63,54,15,360,10-05-2021
"Gas, Naptha & Diesel",27,49,13,0,24,113,10-05-2021
Total,847,1484,819,596,49,3795,10-05-2021
"RES (Wind, Solar, Biomass & Others)",87,127,140,5,0,359,10-05-2021
Coal,498,1238,491,537,10,2774,10-05-2021
Lignite,20,10,50,0,0,79,10-05-2021
Total,862,1493,797,573,53,3779,11-05-2021
Lignite,19,10,47,0,0,75,11-05-2021
Hydro,198,39,56,51,18,362,11-05-2021
"Gas, Naptha & Diesel",27,48,11,0,24,110,11-05-2021
"RES (Wind, Solar, Biomass & Others)",94,150,168,5,0,417,11-05-2021
Nuclear,31,16,64,0,0,111,11-05-2021
Coal,493,1230,452,517,10,2702,11-05-2021
Hydro,201,61,55,61,17,395,12-05-2021
Coal,459,1185,423,484,9,2560,12-05-2021
Lignite,21,10,44,0,0,75,12-05-2021
Total,839,1496,758,550,49,3692,12-05-2021
"RES (Wind, Solar, Biomass & Others)",100,177,168,5,0,450,12-05-2021
"Gas, Naptha & Diesel",28,47,12,0,23,109,12-05-2021
Nuclear,31,16,57,0,0,103,12-05-2021
Nuclear,31,16,56,0,0,103,13-05-2021
"Gas, Naptha & Diesel",30,43,11,0,23,106,13-05-2021
"RES (Wind, Solar, Biomass & Others)",111,175,176,5,0,467,13-05-2021
Total,818,1470,742,519,45,3595,13-05-2021
Hydro,212,67,65,71,16,433,13-05-2021
Coal,412,1158,396,443,6,2415,13-05-2021
Lignite,23,11,38,0,0,71,13-05-2021
"RES (Wind, Solar, Biomass & Others)",86,107,205,5,0,403,14-05-2021
Nuclear,31,16,57,0,0,104,14-05-2021
Hydro,202,70,58,68,18,417,14-05-2021
Lignite,22,11,38,0,0,71,14-05-2021
Coal,462,1197,424,502,7,2592,14-05-2021
Total,833,1443,793,575,48,3693,14-05-2021
"Gas, Naptha & Diesel",30,42,11,0,23,106,14-05-2021
Total,838,1433,774,576,46,3666,15-05-2021
"RES (Wind, Solar, Biomass & Others)",85,90,207,5,0,387,15-05-2021
"Gas, Naptha & Diesel",30,41,10,0,22,103,15-05-2021
Nuclear,31,20,64,0,0,115,15-05-2021
Hydro,195,58,54,58,16,382,15-05-2021
Lignite,22,11,42,0,0,74,15-05-2021
Coal,476,1213,398,512,7,2606,15-05-2021
"RES (Wind, Solar, Biomass & Others)",104,160,228,5,0,498,16-05-2021
Total,834,1351,741,537,43,3506,16-05-2021
Nuclear,31,27,65,0,0,123,16-05-2021
Lignite,21,10,39,0,0,70,16-05-2021
Coal,471,1070,340,478,6,2365,16-05-2021
"Gas, Naptha & Diesel",30,37,11,0,22,101,16-05-2021
Hydro,178,46,57,54,15,350,16-05-2021
Coal,482,1009,347,486,7,2331,17-05-2021
Hydro,182,43,78,54,14,370,17-05-2021
Nuclear,30,28,65,0,0,124,17-05-2021
"Gas, Naptha & Diesel",32,36,12,0,22,102,17-05-2021
"RES (Wind, Solar, Biomass & Others)",96,209,233,5,0,544,17-05-2021
Total,844,1333,777,545,43,3542,17-05-2021
Lignite,21,8,42,0,0,71,17-05-2021
Total,791,1240,766,536,43,3376,18-05-2021
"Gas, Naptha & Diesel",30,27,12,0,20,89,18-05-2021
Nuclear,31,28,66,0,0,125,18-05-2021
Hydro,185,45,69,60,15,375,18-05-2021
Lignite,19,7,39,0,0,66,18-05-2021
Coal,449,983,343,471,7,2252,18-05-2021
"RES (Wind, Solar, Biomass & Others)",77,150,237,5,0,469,18-05-2021
Hydro,179,44,77,74,20,394,19-05-2021
Nuclear,31,28,66,0,0,125,19-05-2021
"Gas, Naptha & Diesel",26,31,12,0,19,89,19-05-2021
Coal,391,959,327,471,7,2155,19-05-2021
Lignite,20,10,35,0,0,65,19-05-2021
Total,717,1193,737,551,46,3243,19-05-2021
"RES (Wind, Solar, Biomass & Others)",69,120,220,5,0,415,19-05-2021
Coal,353,972,347,452,6,2129,20-05-2021
"RES (Wind, Solar, Biomass & Others)",95,124,207,5,0,430,20-05-2021
"Gas, Naptha & Diesel",16,31,12,0,22,81,20-05-2021
Hydro,198,56,73,82,20,430,20-05-2021
Nuclear,32,28,66,0,0,125,20-05-2021
Total,714,1222,741,539,48,3264,20-05-2021
Lignite,20,11,36,0,0,68,20-05-2021
Coal,356,1003,342,463,3,2167,21-05-2021
Lignite,21,10,39,0,0,70,21-05-2021
Hydro,211,58,74,89,19,450,21-05-2021
Nuclear,31,31,66,0,0,128,21-05-2021
"Gas, Naptha & Diesel",16,24,13,0,23,76,21-05-2021
Total,745,1282,731,557,46,3362,21-05-2021
"RES (Wind, Solar, Biomass & Others)",110,157,199,5,0,471,21-05-2021
Hydro,208,61,77,85,19,450,22-05-2021
Total,739,1329,746,583,48,3445,22-05-2021
Nuclear,31,33,66,0,0,130,22-05-2021
"Gas, Naptha & Diesel",17,23,13,0,23,76,22-05-2021
"RES (Wind, Solar, Biomass & Others)",83,144,189,5,0,422,22-05-2021
Lignite,23,11,43,0,0,77,22-05-2021
Coal,377,1056,358,493,6,2291,22-05-2021
"Gas, Naptha & Diesel",18,22,11,0,23,73,23-05-2021
Coal,395,1049,360,499,8,2310,23-05-2021
Lignite,22,10,45,0,0,77,23-05-2021
Hydro,198,55,78,79,15,425,23-05-2021
Nuclear,31,33,66,0,0,130,23-05-2021
Total,756,1298,786,583,46,3469,23-05-2021
"RES (Wind, Solar, Biomass & Others)",92,130,226,5,0,453,23-05-2021
Coal,420,1080,369,523,7,2400,24-05-2021
Lignite,27,11,46,0,0,85,24-05-2021
Hydro,193,66,85,83,13,439,24-05-2021
Nuclear,31,33,66,0,0,130,24-05-2021
"Gas, Naptha & Diesel",17,25,12,0,22,76,24-05-2021
"RES (Wind, Solar, Biomass & Others)",81,126,251,5,0,463,24-05-2021
Total,769,1341,829,611,43,3593,24-05-2021
Coal,429,1075,365,486,7,2362,25-05-2021
Lignite,25,10,48,0,0,83,25-05-2021
Hydro,189,58,72,77,14,410,25-05-2021
Total,787,1378,820,567,43,3595,25-05-2021
"RES (Wind, Solar, Biomass & Others)",94,173,265,5,0,536,25-05-2021
"Gas, Naptha & Diesel",20,29,12,0,21,82,25-05-2021
Nuclear,31,33,58,0,0,121,25-05-2021
Coal,439,1063,329,435,7,2273,26-05-2021
Lignite,24,11,50,0,0,85,26-05-2021
Hydro,194,40,60,82,15,391,26-05-2021
"RES (Wind, Solar, Biomass & Others)",96,229,305,5,0,634,26-05-2021
"Gas, Naptha & Diesel",23,30,13,0,22,87,26-05-2021
Total,806,1406,800,522,44,3577,26-05-2021
Nuclear,30,33,43,0,0,106,26-05-2021
Coal,432,1077,318,416,7,2249,27-05-2021
Lignite,24,11,49,0,0,83,27-05-2021
Hydro,202,40,71,113,22,449,27-05-2021
Nuclear,29,33,44,0,0,106,27-05-2021
"Gas, Naptha & Diesel",24,30,13,0,23,89,27-05-2021
"RES (Wind, Solar, Biomass & Others)",96,207,329,5,0,637,27-05-2021
Total,806,1398,824,533,52,3613,27-05-2021
Total,846,1414,852,559,58,3728,28-05-2021
"Gas, Naptha & Diesel",24,34,13,0,24,94,28-05-2021
Nuclear,30,25,56,0,0,110,28-05-2021
Hydro,227,59,92,125,26,528,28-05-2021
Lignite,23,11,52,0,0,86,28-05-2021
Coal,431,1122,339,429,8,2329,28-05-2021
"RES (Wind, Solar, Biomass & Others)",111,165,301,5,0,582,28-05-2021
"RES (Wind, Solar, Biomass & Others)",105,151,267,5,0,528,29-05-2021
Total,874,1446,848,609,54,3831,29-05-2021
Nuclear,30,20,65,0,0,115,29-05-2021
"Gas, Naptha & Diesel",24,42,12,0,24,102,29-05-2021
Lignite,22,12,54,0,0,88,29-05-2021
Coal,450,1153,359,481,11,2454,29-05-2021
Hydro,243,69,91,123,19,545,29-05-2021
Coal,418,1109,343,473,11,2353,30-05-2021
Lignite,20,12,48,0,0,80,30-05-2021
Hydro,265,48,75,111,16,515,30-05-2021
Nuclear,30,25,66,0,0,121,30-05-2021
"Gas, Naptha & Diesel",23,35,12,0,24,93,30-05-2021
"RES (Wind, Solar, Biomass & Others)",111,156,273,5,0,545,30-05-2021
Total,866,1385,817,589,50,3707,30-05-2021
Coal,425,1090,427,534,8,2484,02-06-2021
Lignite,22,9,51,0,0,83,02-06-2021
Hydro,241,53,75,106,22,497,02-06-2021
Nuclear,27,33,62,0,0,122,02-06-2021
"Gas, Naptha & Diesel",25,48,13,0,25,111,02-06-2021
"RES (Wind, Solar, Biomass & Others)",95,129,194,5,0,424,02-06-2021
Total,835,1363,822,645,56,3720,02-06-2021
Hydro,237,57,66,105,21,486,03-06-2021
Nuclear,27,33,60,0,0,119,03-06-2021
"Gas, Naptha & Diesel",28,42,13,0,24,108,03-06-2021
"RES (Wind, Solar, Biomass & Others)",88,111,134,5,0,339,03-06-2021
Coal,445,1113,468,554,12,2592,03-06-2021
Lignite,22,9,55,0,0,86,03-06-2021
Total,847,1365,797,665,57,3731,03-06-2021
Total,859,1397,804,651,60,3771,04-06-2021
"RES (Wind, Solar, Biomass & Others)",74,89,142,5,0,311,04-06-2021
"Gas, Naptha & Diesel",29,49,12,0,25,116,04-06-2021
Coal,469,1159,472,546,16,2662,04-06-2021
Hydro,238,58,64,100,19,479,04-06-2021
Lignite,21,10,53,0,0,84,04-06-2021
Nuclear,27,33,61,0,0,120,04-06-2021
Coal,469,1148,437,522,11,2587,05-06-2021
Lignite,19,9,48,0,0,76,05-06-2021
Total,879,1352,774,626,60,3690,05-06-2021
"RES (Wind, Solar, Biomass & Others)",81,83,156,5,0,326,05-06-2021
"Gas, Naptha & Diesel",32,40,13,0,24,109,05-06-2021
Nuclear,27,33,65,0,0,125,05-06-2021
Hydro,250,39,55,98,25,468,05-06-2021
Coal,474,1119,399,492,11,2495,06-06-2021
Lignite,22,9,46,0,0,77,06-06-2021
"Gas, Naptha & Diesel",33,32,13,0,24,102,06-06-2021
Nuclear,27,33,66,0,0,125,06-06-2021
"RES (Wind, Solar, Biomass & Others)",85,80,170,5,0,341,06-06-2021
Total,884,1318,748,594,63,3607,06-06-2021
Hydro,244,45,54,97,27,467,06-06-2021
Hydro,270,52,62,106,31,521,07-06-2021
Total,972,1368,839,624,68,3871,07-06-2021
"RES (Wind, Solar, Biomass & Others)",117,128,229,6,0,481,07-06-2021
Coal,506,1111,417,512,12,2559,07-06-2021
Lignite,23,9,51,0,0,82,07-06-2021
Nuclear,26,33,66,0,0,125,07-06-2021
"Gas, Naptha & Diesel",30,36,13,0,25,104,07-06-2021
Total,1028,1413,861,628,66,3995,08-06-2021
Hydro,299,51,62,92,31,534,08-06-2021
Nuclear,26,33,65,0,0,124,08-06-2021
"Gas, Naptha & Diesel",33,37,12,0,23,105,08-06-2021
"RES (Wind, Solar, Biomass & Others)",131,165,273,5,0,575,08-06-2021
Lignite,22,9,50,0,0,82,08-06-2021
Coal,517,1118,399,530,12,2576,08-06-2021
"RES (Wind, Solar, Biomass & Others)",132,188,307,5,0,632,09-06-2021
Nuclear,25,33,66,0,0,124,09-06-2021
Hydro,319,50,62,101,31,563,09-06-2021
"Gas, Naptha & Diesel",34,37,13,0,23,107,09-06-2021
Coal,545,1078,368,512,11,2515,09-06-2021
Total,1080,1396,866,617,65,4025,09-06-2021
Lignite,25,10,50,0,0,85,09-06-2021
Lignite,21,10,50,0,0,81,10-06-2021
Hydro,326,46,58,100,26,556,10-06-2021
Coal,530,1041,359,519,12,2461,10-06-2021
"Gas, Naptha & Diesel",25,44,13,0,25,106,10-06-2021
"RES (Wind, Solar, Biomass & Others)",132,198,331,5,0,666,10-06-2021
Nuclear,29,33,66,0,0,127,10-06-2021
Total,1063,1372,877,624,63,3998,10-06-2021
Lignite,21,10,43,0,0,74,11-06-2021
Total,1045,1338,869,572,60,3883,11-06-2021
Hydro,338,49,66,97,25,575,11-06-2021
Nuclear,30,33,66,0,0,128,11-06-2021
"Gas, Naptha & Diesel",26,38,13,0,24,101,11-06-2021
"RES (Wind, Solar, Biomass & Others)",132,202,349,5,0,688,11-06-2021
Coal,498,1006,333,470,11,2317,11-06-2021
Coal,485,994,318,478,9,2285,12-06-2021
Lignite,22,10,45,0,0,77,12-06-2021
Hydro,342,53,65,112,20,591,12-06-2021
Nuclear,30,33,66,0,0,128,12-06-2021
"Gas, Naptha & Diesel",30,36,13,0,24,103,12-06-2021
"RES (Wind, Solar, Biomass & Others)",123,191,345,5,0,664,12-06-2021
Total,1032,1316,851,595,54,3848,12-06-2021
"RES (Wind, Solar, Biomass & Others)",111,185,335,5,0,636,13-06-2021
"Gas, Naptha & Diesel",28,30,13,0,23,94,13-06-2021
Nuclear,30,32,66,0,0,128,13-06-2021
Hydro,347,47,66,121,25,606,13-06-2021
Total,979,1260,810,562,57,3670,13-06-2021
Coal,444,955,288,436,10,2133,13-06-2021
Lignite,20,11,42,0,0,73,13-06-2021
Hydro,344,65,75,124,27,636,14-06-2021
Coal,475,1037,309,492,11,2324,14-06-2021
Lignite,26,11,49,0,0,85,14-06-2021
Nuclear,30,32,66,0,0,128,14-06-2021
"Gas, Naptha & Diesel",27,38,13,0,23,101,14-06-2021
"RES (Wind, Solar, Biomass & Others)",97,174,334,5,0,610,14-06-2021
Total,999,1357,845,621,61,3883,14-06-2021
Lignite,24,9,51,0,0,84,15-06-2021
Coal,456,1021,335,482,10,2305,15-06-2021
"Gas, Naptha & Diesel",28,39,13,0,23,103,15-06-2021
Hydro,336,58,79,119,24,616,15-06-2021
Nuclear,30,32,66,0,0,128,15-06-2021
"RES (Wind, Solar, Biomass & Others)",119,202,330,5,0,655,15-06-2021
Total,993,1361,873,606,57,3890,15-06-2021
Total,962,1364,875,607,57,3865,16-06-2021
"RES (Wind, Solar, Biomass & Others)",88,175,320,5,0,587,16-06-2021
"Gas, Naptha & Diesel",23,33,13,0,23,92,16-06-2021
Nuclear,30,32,60,0,0,123,16-06-2021
Hydro,341,62,81,123,24,631,16-06-2021
Lignite,27,9,52,0,0,88,16-06-2021
Coal,454,1052,350,479,10,2344,16-06-2021
"Gas, Naptha & Diesel",24,30,13,0,23,90,17-06-2021
Coal,484,1058,358,479,11,2389,17-06-2021
Lignite,26,11,52,0,0,88,17-06-2021
"RES (Wind, Solar, Biomass & Others)",69,126,343,5,0,544,17-06-2021
Nuclear,31,33,58,0,0,122,17-06-2021
Hydro,341,56,90,116,23,625,17-06-2021
Total,974,1314,914,599,57,3858,17-06-2021
Hydro,324,57,99,109,22,611,18-06-2021
Lignite,25,10,53,0,0,88,18-06-2021
Coal,489,1063,378,479,11,2419,18-06-2021
Nuclear,31,32,57,0,0,120,18-06-2021
"Gas, Naptha & Diesel",23,30,13,0,25,92,18-06-2021
"RES (Wind, Solar, Biomass & Others)",67,114,338,5,0,524,18-06-2021
Total,958,1307,939,593,58,3854,18-06-2021
Hydro,301,54,99,113,22,589,19-06-2021
Lignite,24,10,44,0,0,78,19-06-2021
Total,941,1271,898,605,58,3772,19-06-2021
"RES (Wind, Solar, Biomass & Others)",85,146,311,5,0,547,19-06-2021
"Gas, Naptha & Diesel",23,29,13,0,26,91,19-06-2021
Nuclear,31,32,48,0,0,110,19-06-2021
Coal,477,999,383,488,10,2357,19-06-2021
Total,918,1223,873,583,58,3655,20-06-2021
Lignite,24,9,40,0,0,73,20-06-2021
Hydro,287,54,85,129,25,580,20-06-2021
Nuclear,31,31,45,0,0,107,20-06-2021
Coal,453,908,368,449,7,2184,20-06-2021
"RES (Wind, Solar, Biomass & Others)",100,195,322,5,0,623,20-06-2021
"Gas, Naptha & Diesel",23,27,13,0,26,89,20-06-2021
Nuclear,31,28,61,0,0,119,21-06-2021
Hydro,317,59,112,133,25,646,21-06-2021
"Gas, Naptha & Diesel",23,30,13,0,26,92,21-06-2021
"RES (Wind, Solar, Biomass & Others)",84,178,283,5,0,550,21-06-2021
Total,1000,1358,906,621,60,3944,21-06-2021
Lignite,28,10,45,0,0,83,21-06-2021
Coal,517,1055,393,482,8,2455,21-06-2021
Nuclear,31,28,39,0,0,97,22-06-2021
"RES (Wind, Solar, Biomass & Others)",93,165,250,4,0,513,22-06-2021
Total,1107,1414,895,654,64,4133,22-06-2021
Lignite,28,10,45,0,0,83,22-06-2021
Coal,598,1108,438,515,14,2672,22-06-2021
"Gas, Naptha & Diesel",23,38,13,0,25,98,22-06-2021
Hydro,334,66,110,134,25,669,22-06-2021
Nuclear,31,31,37,0,0,99,23-06-2021
Lignite,25,10,46,0,0,81,23-06-2021
Coal,638,1102,482,522,16,2759,23-06-2021
Total,1156,1378,916,660,65,4176,23-06-2021
"RES (Wind, Solar, Biomass & Others)",105,141,237,5,0,488,23-06-2021
"Gas, Naptha & Diesel",23,39,13,0,25,100,23-06-2021
Hydro,334,54,101,134,24,648,23-06-2021
"Gas, Naptha & Diesel",23,34,13,0,25,95,24-06-2021
Lignite,25,9,42,0,0,76,24-06-2021
Coal,628,1089,465,487,11,2679,24-06-2021
"RES (Wind, Solar, Biomass & Others)",106,178,293,5,0,582,24-06-2021
Nuclear,31,33,40,0,0,103,24-06-2021
Hydro,330,40,83,135,26,614,24-06-2021
Total,1142,1383,936,627,62,4150,24-06-2021
Coal,630,1061,481,479,10,2661,25-06-2021
Lignite,23,8,47,0,0,78,25-06-2021
Total,1150,1376,978,607,60,4171,25-06-2021
"RES (Wind, Solar, Biomass & Others)",116,197,305,5,0,623,25-06-2021
"Gas, Naptha & Diesel",23,30,13,0,25,90,25-06-2021
Nuclear,31,33,43,0,0,107,25-06-2021
Hydro,328,47,89,123,25,612,25-06-2021
Total,1130,1383,978,589,59,4140,26-06-2021
"RES (Wind, Solar, Biomass & Others)",102,183,303,5,0,593,26-06-2021
Hydro,321,52,97,126,24,620,26-06-2021
Lignite,25,7,47,0,0,80,26-06-2021
Coal,628,1075,476,458,11,2648,26-06-2021
Nuclear,31,32,43,0,0,106,26-06-2021
"Gas, Naptha & Diesel",23,33,13,0,24,93,26-06-2021
"Gas, Naptha & Diesel",23,37,13,0,24,97,27-06-2021
Coal,629,1083,473,489,11,2685,27-06-2021
Lignite,30,7,50,0,0,87,27-06-2021
Hydro,324,47,93,130,24,617,27-06-2021
Nuclear,31,32,44,0,0,107,27-06-2021
Total,1114,1338,875,624,59,4009,27-06-2021
"RES (Wind, Solar, Biomass & Others)",77,132,201,5,0,415,27-06-2021
"Gas, Naptha & Diesel",23,36,11,0,24,95,28-06-2021
Nuclear,30,32,43,0,0,106,28-06-2021
Hydro,337,53,103,125,23,642,28-06-2021
Lignite,30,7,51,0,0,88,28-06-2021
Coal,695,1135,542,536,13,2921,28-06-2021
"RES (Wind, Solar, Biomass & Others)",85,109,184,5,0,383,28-06-2021
Total,1201,1372,934,666,60,4234,28-06-2021
Nuclear,30,32,43,0,0,105,29-06-2021
"Gas, Naptha & Diesel",25,52,10,0,24,111,29-06-2021
"RES (Wind, Solar, Biomass & Others)",98,117,185,5,0,405,29-06-2021
Total,1247,1448,988,668,60,4410,29-06-2021
Coal,719,1184,580,541,16,3039,29-06-2021
Hydro,344,57,115,122,20,658,29-06-2021
Lignite,30,7,55,0,0,92,29-06-2021
"RES (Wind, Solar, Biomass & Others)",135,196,215,4,0,550,30-06-2021
Total,1265,1485,993,686,58,4486,30-06-2021
"Gas, Naptha & Diesel",35,49,11,0,23,117,30-06-2021
Nuclear,30,32,44,0,0,106,30-06-2021
Hydro,347,46,112,133,22,661,30-06-2021
Lignite,29,8,54,0,0,91,30-06-2021
Coal,688,1155,556,548,13,2960,30-06-2021
Total,1244,1491,968,654,61,4419,01-07-2021
"RES (Wind, Solar, Biomass & Others)",134,237,200,5,0,576,01-07-2021
Coal,657,1132,541,518,11,2859,01-07-2021
Hydro,350,43,117,131,27,669,01-07-2021
Nuclear,30,32,46,0,0,108,01-07-2021
"Gas, Naptha & Diesel",45,37,10,0,23,115,01-07-2021
Lignite,29,10,53,0,0,91,01-07-2021
Lignite,26,11,46,0,0,84,02-07-2021
"RES (Wind, Solar, Biomass & Others)",133,249,228,5,0,616,02-07-2021
"Gas, Naptha & Diesel",44,39,11,0,26,120,02-07-2021
Total,1230,1430,960,639,62,4320,02-07-2021
Hydro,353,37,118,134,26,667,02-07-2021
Coal,644,1060,511,500,10,2724,02-07-2021
Nuclear,30,33,46,0,0,109,02-07-2021
Lignite,27,12,43,0,0,82,03-07-2021
Coal,600,1154,531,500,11,2796,03-07-2021
Hydro,351,40,117,132,28,668,03-07-2021
Nuclear,30,33,46,0,0,109,03-07-2021
Total,1161,1491,952,637,64,4306,03-07-2021
"RES (Wind, Solar, Biomass & Others)",117,215,203,5,0,540,03-07-2021
"Gas, Naptha & Diesel",35,39,12,0,25,111,03-07-2021
"Gas, Naptha & Diesel",34,34,11,0,26,105,04-07-2021
Coal,610,1164,572,515,13,2875,04-07-2021
Lignite,27,11,44,0,0,82,04-07-2021
Hydro,353,38,106,131,30,657,04-07-2021
Nuclear,27,33,46,0,0,106,04-07-2021
"RES (Wind, Solar, Biomass & Others)",108,159,178,5,0,450,04-07-2021
Total,1159,1437,959,651,69,4275,04-07-2021
Lignite,28,12,40,0,0,80,05-07-2021
"RES (Wind, Solar, Biomass & Others)",94,118,171,6,0,389,05-07-2021
"Gas, Naptha & Diesel",36,41,11,0,25,113,05-07-2021
Nuclear,26,32,46,0,0,105,05-07-2021
Hydro,353,53,120,140,27,692,05-07-2021
Total,1187,1498,986,701,67,4439,05-07-2021
Coal,650,1242,597,555,15,3060,05-07-2021
Total,1250,1551,991,694,67,4553,06-07-2021
"RES (Wind, Solar, Biomass & Others)",96,110,170,5,0,381,06-07-2021
"Gas, Naptha & Diesel",38,51,9,0,24,121,06-07-2021
Nuclear,26,32,46,0,0,105,06-07-2021
Hydro,361,54,111,140,26,692,06-07-2021
Lignite,28,11,39,0,0,79,06-07-2021
Coal,701,1292,616,549,17,3175,06-07-2021
Lignite,31,11,41,0,0,83,07-07-2021
Total,1294,1532,1001,673,68,4568,07-07-2021
"RES (Wind, Solar, Biomass & Others)",115,142,188,5,0,450,07-07-2021
"Gas, Naptha & Diesel",38,46,11,0,24,119,07-07-2021
Coal,726,1249,606,531,17,3129,07-07-2021
Nuclear,28,33,46,0,0,107,07-07-2021
Hydro,356,51,109,137,27,680,07-07-2021
"Gas, Naptha & Diesel",35,35,11,0,24,104,08-07-2021
"RES (Wind, Solar, Biomass & Others)",127,177,178,4,0,485,08-07-2021
Total,1244,1561,954,643,71,4474,08-07-2021
Lignite,29,11,37,0,0,77,08-07-2021
Hydro,356,25,102,130,35,648,08-07-2021
Coal,668,1280,581,510,12,3052,08-07-2021
Nuclear,29,32,46,0,0,108,08-07-2021
Coal,668,1257,562,520,10,3018,09-07-2021
Lignite,27,12,32,0,0,71,09-07-2021
Hydro,360,33,90,139,31,653,09-07-2021
Nuclear,30,33,46,0,0,109,09-07-2021
"Gas, Naptha & Diesel",33,33,11,0,26,102,09-07-2021
Total,1220,1499,959,664,68,4409,09-07-2021
"RES (Wind, Solar, Biomass & Others)",101,132,218,5,0,456,09-07-2021
Total,1144,1356,917,672,64,4152,11-07-2021
Coal,629,1175,493,529,10,2836,11-07-2021
Lignite,27,12,38,0,0,77,11-07-2021
Hydro,355,27,64,138,28,612,11-07-2021
"RES (Wind, Solar, Biomass & Others)",71,83,265,5,0,423,11-07-2021
"Gas, Naptha & Diesel",32,28,11,0,25,96,11-07-2021
Nuclear,30,33,47,0,0,109,11-07-2021
"RES (Wind, Solar, Biomass & Others)",71,89,300,5,0,466,12-07-2021
"Gas, Naptha & Diesel",31,29,11,0,24,95,12-07-2021
Nuclear,27,32,43,0,0,101,12-07-2021
Hydro,344,25,75,141,30,615,12-07-2021
Lignite,26,11,41,0,0,78,12-07-2021
Coal,619,1148,489,519,11,2785,12-07-2021
Total,1118,1334,958,664,65,4140,12-07-2021
